UWI,DATUM,GL,EREF,UNIT,datum
00/06-33-070-21W4/0,651.358,651.358,654.71,M,654.71
00/06-33-070-24W4/0,601.98,601.98,605.638,M,605.638
00/06-33-074-13W4/0,731.672,731.672,734.873,M,734.873
00/06-33-074-26W4/0,817.778,817.778,820.826,M,820.826
00/06-33-076-26W4/0,883.615,879.5,883.615,M,883.615
00/06-33-078-18W4/0,555.955,552.816,555.955,M,555.955
00/06-34-067-02W4/0,689.57,686.22,689.57,M,689.57
00/06-34-069-14W4/0,579.8,579.8,583.24,M,583.24
00/06-34-071-16W4/0,596.189,594.055,596.189,M,596.189
00/06-34-072-18W4/0,585.734,585.734,588.874,M,588.874
00/06-34-073-08W4/0,705.44,705.44,708.84,M,708.84
00/06-34-074-16W4/0,666.902,666.902,669.95,M,669.95
00/06-34-078-13W4/0,668,662.5,668,M,668
00/06-34-078-25W4/0,581,581,584.7,M,584.7
00/06-34-080-03W4/0,1647,1635,1647,F,502.0056
00/06-34-080-17W4/0,550,547,550,M,550
00/06-34-081-21W4/0,627.492,627.492,630.997,M,630.997
00/06-34-082-02W5/0,588.142,584.85,588.142,M,588.142
00/06-34-082-03W4/0,474.116,470.611,474.116,M,474.116
00/06-34-082-16W4/0,530.352,526.694,530.352,M,530.352
00/06-34-084-01W5/0,627.583,627.583,630.875,M,630.875
00/06-34-084-16W4/0,532.3,528.6,532.3,M,532.3
00/06-34-086-23W4/0,530.962,530.962,534.01,M,534.01
00/06-35-070-03W5/0,617.4,617.4,620.6,M,620.6
